id	sell	num_orders	num_items	grand_total	site_domain	site_published	has_blog	has_shoutout	has_get_subscribers	site_pages	facebook_url	facebook_likes	instagram_url	instagram_followers	has_about_page	has_contact_page	has_faq_page	has_blog_page	has_products_page	has_shipping_policy	has_return_policy	has_payment_methods	has_clear_banner	has_clear_cta
05268051-1d2b-4875-9f92-ae525b4b4695	1	310	440	1500	1	1	0	1	0	7	1	2357	1	142064	0	1	0	0	1	0	1	0	0	0
05342fcb-3b09-4139-8179-91db3c5adccf	1	14	19	44	1	1	0	1	1	7	1	428	1	1882	0	1	0	0	1	0	0	0	0	0
0551bf37-0327-48ef-a226-3bc58ea6bdec	1	9	11	37	1	0	1	1	1	0	1	147	0	0	1	1	0	1	1	0	0	0	0	0
055ebcf9-7d02-408c-adf9-174f06c3ca4d	1	19	40	104	1	1	1	1	1	39	1	23	1	145	1	1	1	1	1	0	1	0	0	0
055fefbf-7eae-4a20-a93c-a76c918c7a74	1	11	12	11	1	1	1	1	0	26	0	0	0	0	1	1	0	0	1	0	0	1	0	1
05881a77-412e-4b0e-bcf6-f4d6004ef322	1	10	13	21	1	1	0	1	0	10	1	23	1	72	1	1	1	0	1	1	1	1	0	0
0596db9f-6953-4c8b-8588-4427c5d5a4e6	1	150	223	846	1	1	0	1	1	15	1	1888	1	2346	1	1	0	0	1	1	1	1	0	0
059f8334-a98e-41b2-b5f9-3a359cbd88f3	1	162	168	1848	1	1	0	1	1	25	1	1796	1	90	1	1	1	0	1	1	1	1	0	0
05d91f10-f2fe-402a-a7ad-929a9f95a1af	1	70	203	466	1	1	1	1	0	60	1	4479	1	2355	1	1	0	1	1	1	1	1	0	0
05ed3608-1628-42e4-b3af-55bec019881b	1	456	649	7979	1	1	1	1	1	23	1	1041	1	493	1	1	1	1	1	1	1	0	0	0
0604fe69-250e-43dd-a7cf-72d55c9854a0	1	26	42	51	1	1	1	1	1	18	1	524	1	1387	1	1	0	1	1	0	1	0	0	0
0613c134-de39-48b6-9baa-62842df710ca	1	16	16	24	1	1	0	0	0	5	0	0	0	0	0	0	0	0	1	0	0	0	0	0
0629ac61-2dd1-47a4-94be-27531522cdb1	1	8	15	36	1	1	1	0	1	18	1	380	1	895	0	1	1	1	1	1	0	0	0	1
064cdc32-290d-498f-b1ae-2a5b1ff7a431	1	76	82	1123	1	1	0	1	1	11	0	0	0	0	1	1	0	0	1	0	1	0	0	1
0657aa8f-a433-4318-9ef8-d45e50349af9	1	476	612	2545	1	1	1	1	1	76	1	11756	1	5582	1	1	0	1	1	1	1	1	0	1
0662175c-fe8c-4951-9dd8-70c59047e41d	1	65	76	1717	1	1	1	1	0	20	1	1443	1	4059	1	1	1	0	1	1	1	1	0	0
066b28b9-bce0-473e-8a49-a0c1dd17ccc0	1	17	22	37	1	1	1	1	1	12	1	157	1	242	1	1	0	1	1	0	1	0	0	0
066bfb56-282f-4bcc-b9c9-b99d43b61f79	1	225	296	5825	1	1	0	1	1	15	0	0	1	638	0	1	0	0	1	1	1	1	0	0
06706a42-0da1-4005-9d27-a32b1706f81e	1	53	806	811	1	1	1	1	1	46	1	1835	1	1493	1	1	0	0	1	0	1	0	0	0
067b4dc0-4316-4000-9cc5-52a4e95a7994	1	15	31	60	1	1	1	1	0	8	1	6	1	1125	0	1	0	0	1	0	0	0	0	0
06848bde-9168-423b-b7ef-02bdc22d25ed	1	65	72	333	1	1	1	1	1	17	1	1679	1	11552	1	1	0	1	1	1	1	1	0	0
06a70775-7f1f-4e18-9de6-985634167994	1	25	38	106	0	1	0	1	0	19	0	0	0	0	1	1	0	0	1	0	0	0	0	0
06cd7dd0-16f2-45dc-84b6-03479ac82f36	1	12	12	25	1	1	1	1	0	23	1	432	0	0	1	1	0	0	0	0	1	1	0	0
06df45b5-b200-4795-abe3-909af1373767	1	1395	1940	4748	1	1	0	1	0	12	1	20565	1	12425	0	1	0	0	1	1	1	1	0	0
06f7376d-8f93-433f-b699-742c15c39a7e	1	211	277	784	1	1	0	1	0	8	1	252	1	98886	0	1	0	0	1	0	0	0	0	0
07114490-fbd3-4e02-9988-ccf004c0f6a6	1	18	20	227	1	1	0	1	0	14	1	1548	0	0	1	1	0	0	1	0	1	0	0	0
0712b032-a38e-41c8-aef4-e6daa052f794	1	42	67	281	1	1	1	1	1	16	1	619	1	134	1	1	1	1	1	1	1	1	0	1
071af0f3-3454-4fcd-9acf-12dc7f45d0e9	1	15	18	84	1	1	1	1	1	49	1	33	0	0	1	1	0	1	1	1	1	1	0	0
07292b7a-5f61-4972-a54e-e88beb2341f0	1	21	33	82	1	1	1	1	1	20	1	192	1	429	1	1	1	1	1	1	1	1	0	1
074599dc-1b27-4043-a28f-0403600e70cd	1	11	14	115	1	1	1	1	1	11	1	1143	0	0	1	1	0	0	1	0	1	0	0	0
076a520f-3169-4ec0-8728-e1bb6dd549da	1	64	61	1031	1	1	0	1	0	6	0	0	0	0	0	1	0	0	1	0	1	0	0	0
0785452b-32c7-4cff-8444-14f12781e377	1	7	8	41	1	1	1	0	0	24	0	0	0	0	1	0	0	0	1	0	0	0	0	0
07b045be-608f-4cfa-b8f2-97004b3609d9	1	23	24	77	1	1	0	1	1	10	1	241	1	2774	0	1	0	0	1	1	1	1	0	0
07b583d1-87dd-44d2-8424-a1979a6e357d	1	9	14	51	1	1	0	1	0	17	0	0	0	0	1	1	1	0	1	0	0	0	0	0
07c15d4e-47b1-4cdd-9041-978dbdb72e8a	1	10	11	49	1	1	0	1	1	7	1	1088	1	23467	0	1	0	0	1	1	1	1	0	0
07f2ce68-74ac-4a19-b3b0-337787205836	1	342	484	6601	1	1	1	1	0	72	0	0	0	0	1	1	0	0	1	0	1	1	0	0
07f8716e-93fc-400d-a349-5376508522ff	1	20	35	158	1	1	1	1	1	12	0	0	1	261	1	1	0	0	1	1	1	1	0	0
08254114-21e8-482f-9901-0edaf1849d28	1	84	85	1041	1	1	1	1	1	15	1	1055	0	160	1	1	0	0	1	1	1	1	0	0
0829884a-6888-4420-bf29-10d5e9df848c	1	27	32	1107	1	1	1	1	0	20	1	1997	0	0	1	1	1	0	1	1	1	1	0	0
083bee9a-303f-4221-8c2c-d3a62fa1aa2a	1	32	36	41	1	1	0	1	0	7	0	0	1	946	0	1	0	0	1	0	1	1	0	0
084f4d7b-cc97-41dd-978a-8de50381eb97	1	29	89	246	1	1	0	1	1	12	1	22450	0	0	0	1	0	0	1	0	0	0	0	0
086c8d73-ddce-4c35-8bf9-af034a22c5f0	1	7	17	18	1	1	1	0	0	21	1	536	1	253	1	1	0	1	1	0	0	0	0	0
086f2961-7367-4142-9cd8-78ff393b35de	1	7	7	18	1	1	1	1	1	6	1	62	1	268	1	1	0	0	1	0	0	0	0	0
